search_id,user_id,metro_area,search_date,event_date,venue_type,capacity_needed,max_price,search_resulted_in_booking
1,1838,San Francisco,2024-01-01,2024-01-29,photo_studio,21,285.685892036223,True
2,870,New York,2024-01-01,2024-01-07,photo_studio,14,389.85945661185593,False
3,1284,Miami,2024-01-01,2024-01-26,event_space,50,141.8002920366496,False
4,525,San Francisco,2024-01-01,2024-01-24,meeting_room,6,257.20926228929375,False
5,657,Miami,2024-01-01,2024-01-14,photo_studio,8,153.17008941825765,True
6,1395,San Francisco,2024-01-01,2024-01-16,photo_studio,12,295.7122285023051,True
7,1547,Los Angeles,2024-01-01,2024-01-29,event_space,74,157.62647958982762,True
8,746,Austin,2024-01-01,2024-01-07,workshop_space,29,161.49573299358016,False
9,352,Miami,2024-01-01,2024-01-18,photo_studio,17,140.32080812620896,False
10,1782,Miami,2024-01-01,2024-01-20,meeting_room,6,140.882405994422,True
11,1605,Austin,2024-01-01,2024-01-08,workshop_space,20,123.64519921708776,False
12,1778,Chicago,2024-01-01,2024-01-28,photo_studio,22,85.25831411145568,False
13,665,Chicago,2024-01-01,2024-01-20,event_space,63,154.72499372696288,False
14,1664,Los Angeles,2024-01-01,2024-01-17,workshop_space,34,153.63391616402575,False
15,613,New York,2024-01-01,2024-01-06,rooftop,111,282.7394836167525,False
16,641,San Francisco,2024-01-01,2024-01-06,meeting_room,9,233.10678533935948,False
17,1020,San Francisco,2024-01-01,2024-01-02,photo_studio,19,209.66428355916844,True
18,1578,New York,2024-01-01,2024-01-05,photo_studio,9,309.2720227656947,False
19,587,Chicago,2024-01-01,2024-01-11,event_space,49,122.3303576246547,False
20,824,Miami,2024-01-01,2024-01-29,event_space,38,133.35726576187886,True
21,1643,New York,2024-01-01,2024-01-30,meeting_room,12,397.77077573014446,False
22,1114,New York,2024-01-01,2024-01-03,event_space,43,270.3174973177572,True
23,887,San Francisco,2024-01-01,2024-01-07,photo_studio,19,279.24604123153284,False
24,451,Los Angeles,2024-01-01,2024-01-05,meeting_room,12,166.19350944472552,True
25,1180,Miami,2024-01-01,2024-01-17,event_space,52,159.19979497441463,False
26,1049,San Francisco,2024-01-01,2024-01-17,workshop_space,30,190.44926753200872,False
27,1542,Miami,2024-01-01,2024-01-11,event_space,58,189.17414129575602,False
28,1473,Austin,2024-01-01,2024-01-13,meeting_room,5,180.43209823943087,True
